ID,Team,url
1,slac207,https://github.com/slac207/cs207project/tree/928fc7f28648b9f12a685e2fbe9f2f0b5b04f404
2,gitrdone4,https://github.com/gitrdone4/cs207project/tree/5accf31a58e1e78b3bf3b36a90777510147f4293
3,cs207-2016,https://github.com/cs207-2016/cs207project/tree/0f86b493d1fd97cc15ac5f32f87df54d876f0e39
4,ecnc,https://github.com/ecnc/cs207project/tree/778b2e1ca4fd7cc522c5d1a2103541126d14e973
5,glacierscse,https://github.com/glacierscse/cs207project/tree/0373ea757356a7ee32a6f8a5d697472581e26e97
6,CSE-O1,https://github.com/CSE-O1/cs207project/tree/25ab7c001e08d992c05138a3b0512c05d09bb650
7,rubix-cube,https://github.com/rubix-cube/cs207project/tree/3f31e9e1e61d39a66490a1999cb3a4f35f1a06c1
8,ATeamHasNoName,https://github.com/ATeamHasNoName/CS207Project/commit/ac404557313aaed91b529650a0c2afc5a109fc48
9,jovhscript,https://github.com/jovhscript/cs207project/tree/928fc7f28648b9f12a685e2fbe9f2f0b5b04f404

